uid,sid
467,270
851,55
764,265
693,421
63,62
752,426
470,240
783,92
355,124
452,304
698,182
993,38
756,175
45,283
551,324
659,94
363,97
242,112
659,289
145,66
180,160
296,148
48,469
169,381
939,126
329,263
490,353
419,23
477,374
246,464
9,142
326,497
153,195
848,330
834,181
504,257
461,6
63,243
788,240
587,164
625,250
102,436
522,306
64,28
571,311
820,3
470,419
880,409
652,261
151,319
952,232
861,96
367,224
840,392
159,340
159,219
673,377
249,29
360,76
625,307
529,188
922,103
773,52
26,173
925,16
312,397
618,25
337,361
482,354
442,220
967,127
862,86
935,272
350,420
67,260
851,457
674,387
555,128
445,116
207,389
708,455
252,313
337,236
693,218
635,149
774,254
621,258
59,333
160,185
363,347
287,373
390,203
942,480
310,264
96,213
473,86
435,496
457,487
137,159
156,341
762,500
195,388
950,182
816,403
501,79
5,129
451,82
173,441
690,398
378,305
461,55
955,173
374,24
69,309
28,357
384,448
532,97
451,355
678,412
92,167
126,206
744,385
155,221
629,277
459,245
708,238
82,434
398,367
851,350
478,436
320,78
184,366
501,454
980,357
700,218
470,55
708,197
242,304
71,15
233,96
470,267
198,17
699,76
658,18
868,366
726,399
701,490
890,190
526,491
522,3
661,498
637,201
223,322
124,72
929,432
611,153
94,316
430,186
831,73
471,236
562,347
575,36
158,333
192,412
548,368
867,366
185,190
515,367
349,301
222,175
307,71
365,283
114,490
223,279
180,211
316,40
365,388
774,125
106,85
599,342
351,20
676,78
545,284
137,83
76,208
450,356
682,175
4,290
943,48
15,82
219,390
881,123
52,260
581,420
922,140
897,464
749,59
945,76
331,290
274,254
575,38
880,236
436,21
15,271
245,227
666,307
160,20
82,170
256,102
390,255
788,25
925,78
385,180
338,393
944,228
414,374
428,265
810,163
507,484
935,366
133,214
374,425
383,8
587,456
619,410
357,214
285,280
170,147
514,150
718,359
367,58
702,229
530,426
157,99
391,156
377,60
857,325
11,391
632,334
490,66
24,110
812,309
780,381
863,236
865,286
60,448
102,71
96,38
431,47
855,171
434,271
809,312
728,234
474,51
850,474
545,439
460,236
682,283
64,17
637,410
12,74
999,298
558,271
877,156
343,432
474,162
793,492
394,56
832,486
837,391
846,194
417,374
540,86
243,11
491,293
123,470
255,102
85,173
276,464
336,90
319,420
895,272
244,150
891,339
721,224
27,86
762,213
646,99
863,470
747,150
666,44
43,116
542,411
371,431
562,310
431,474
650,477
74,374
668,44
22,229
130,205
870,105
369,77
552,206
813,150
383,98
656,438
862,238
233,321
750,430
338,459
765,409
278,122
416,244
324,119
895,117
396,63
452,447
993,338
113,114
201,12
703,120
692,347
603,274
985,80
119,290
535,352
210,450
348,128
808,438
515,477
443,392
488,272
68,27
581,442
131,496
508,331
46,200
436,323
232,124
667,9
478,233
108,230
281,361
72,327
54,349
158,160
735,383
588,212
138,111
123,186
715,244
378,337
616,437
25,105
968,37
482,498
272,443
424,137
314,95
94,457
184,159
435,72
714,279
69,14
102,290
214,159
518,437
855,481
55,101
349,468
575,460
672,19
188,462
187,98
192,95
25,252
152,53
489,471
461,111
562,340
427,194
621,67
710,103
70,91
280,238
267,447
827,207
99,104
36,327
421,280
125,490
600,462
61,193
57,459
109,306
493,326
902,468
475,3
367,247
931,407
915,78
815,44
374,469
740,367
869,371
81,232
255,173
411,25
108,225
726,104
364,408
697,128
877,213
258,394
141,175
646,438
143,336
258,169
358,212
477,42
771,126
739,107
99,462
380,424
865,478
669,166
589,93
767,329
864,116
885,38
729,39
164,311
532,272
985,38
772,88
375,171
13,335
498,425
814,486
355,194
568,193
448,64
121,471
151,487
427,310
670,64
281,309
997,390
790,39
718,341
733,122
542,102
246,402
129,267
30,247
194,188
255,174
394,134
874,228
788,402
806,128
173,193
828,415
731,66
923,324
340,28
984,106
591,254
181,399
132,313
881,379
853,10
336,212
528,240
109,436
85,323
673,424
840,408
837,468
87,288
323,462
796,419
75,492
787,147
807,408
727,189
612,450
697,211
732,387
938,196
465,104
484,428
140,144
538,296
989,227
925,294
624,482
530,490
950,412
825,209
810,342
473,457
708,50
727,287
110,286
422,497
989,179
731,103
261,132
970,91
872,444
685,225
233,353
771,222
750,21
517,382
39,252
316,307
885,180
161,107
5,216
50,277
352,305
602,91
481,482
566,424
56,72
723,361
759,195
39,272
289,389
878,265
545,241
854,19
899,182
491,439
242,313
307,51
365,240
424,342
16,419
118,197
67,252
657,354
11,48
477,465
434,294
996,268
785,130
482,149
232,458
86,400
405,389
247,191
712,338
323,410
239,413
631,411
356,405
211,27
714,322
424,290
396,60
427,456
62,231
892,165
795,229
763,45
752,12
782,204
728,39
884,111
823,150
315,383
172,485
262,392
873,201
872,115
44,83
818,28
223,206
128,441
222,112
844,340
102,157
650,408
172,197
96,212
187,411
542,334
852,30
662,274
22,93
485,285
797,143
20,264
772,177
789,328
520,284
503,209
33,174
473,161
932,81
495,448
982,12
148,121
939,44
90,259
489,194
353,288
779,387
172,43
238,267
471,315
