sid,topic,skill_name
1,Humanities,WDK
2,Humanities,ISO/TS 16949
3,STEM,Aesthetics
4,Humanities,UML
5,Athletics,EBITDA Growth
6,STEM,SFI
7,Humanities,GDI+
8,Athletics,NCFM Certified
9,Athletics,UL
10,Athletics,Berkeley DB
11,STEM,Systems Analysis
12,Humanities,Business Journalism
13,Humanities,Omnis
14,Humanities,Cd
15,Humanities,GSM-R
16,Athletics,GNU Make
17,Humanities,TPMS
18,STEM,SEO
19,Athletics,Oracle HR
20,Athletics,Brand Management
21,Humanities,Maritime Operations
22,STEM,Artistic Abilities
23,Humanities,Xeriscaping
24,STEM,Visual Basic
25,Athletics,UBD
26,Humanities,Sleepwear
27,Athletics,Amazon Kindle
28,STEM,QPST
29,STEM,OE
30,Humanities,CCIM
31,Humanities,Object Oriented Modeling
32,STEM,AJAX Toolkit
33,Athletics,SaaS
34,Humanities,Cycling
35,STEM,Electronic Payments
36,STEM,Jewish History
37,STEM,UFS
38,Athletics,IP Cameras
39,Athletics,Luxury Homes
40,Humanities,Student Financial Aid
41,Athletics,SSL Duality
42,Athletics,RNC
43,Humanities,Government Procurement
44,Athletics,jQuery Mobile
45,STEM,Xactly
46,Humanities,Farms
47,Athletics,Aerobics
48,Humanities,DBMS
49,Athletics,XSL
50,Athletics,Valuation
51,Humanities,Zero Waste
52,STEM,Power Generation
53,Athletics,Psychotherapy
54,Athletics,Social Justice
55,STEM,OTDR
56,Athletics,Brain Gym
57,Athletics,OTP
58,Athletics,Eyelash Extensions
59,Athletics,Egyptian Arabic
60,Athletics,Web Design
61,Athletics,cGMP practices
62,Athletics,QC 9.2
63,STEM,Universal Life
64,Athletics,MCH
65,Athletics,FTSE 100
66,Humanities,UltraTax CS
67,STEM,TD-SCDMA
68,STEM,MSC Patran
69,Athletics,NCDA
70,Humanities,Online Reputation Management
71,STEM,Youth Outreach
72,Humanities,DTR
73,STEM,KWI
74,STEM,SLA
75,Athletics,Fertility
76,Humanities,JDOM
77,Humanities,CSRs
78,Humanities,Tax Advisory
79,STEM,Training Delivery
80,Humanities,Documentation
81,STEM,PLC Allen Bradley
82,Humanities,Adobe Acrobat
83,STEM,OEM Management
84,Athletics,High Performance Computing
85,STEM,RMX
86,Humanities,PBASIC
87,Athletics,CVIS
88,Humanities,JMP
89,Athletics,Global Strategy
90,Humanities,Content Strategy
91,STEM,Proposal Writing
92,Humanities,Songwriting
93,Humanities,BC/DR
94,Athletics,Medical Nutrition Therapy
95,Humanities,VT
96,Athletics,NLP
97,Humanities,Requirements Gathering
98,STEM,T-SQL
99,Athletics,IBS
100,Humanities,Kettlebells
101,Athletics,Urban Planning
102,STEM,RHIT
103,Athletics,EEO
104,Humanities,LCMS
105,STEM,Group Dynamics
106,Athletics,Single Family Homes
107,STEM,Lytec
108,STEM,US GAAP
109,Athletics,Youth Outreach
110,STEM,Factory
111,STEM,Data Integration
112,Humanities,DDoS Mitigation
113,Humanities,Wireframes
114,STEM,GPFS
115,Athletics,RLC
116,Humanities,IEP
117,Humanities,VBA
118,Humanities,Two-factor Authentication
119,STEM,Uveitis
120,Humanities,eCTD
121,STEM,Vacation
122,Athletics,ADP Payroll
123,Athletics,Klarity
124,Athletics,LPS
125,Athletics,Ocular Disease
126,Humanities,XMLBeans
127,STEM,Accounting
128,Athletics,LBO
129,Athletics,CBCP
130,STEM,Korean
131,Athletics,WSE
132,Athletics,University Teaching
133,Athletics,MS VC++
134,Humanities,BGAN
135,STEM,EOS
136,Humanities,Revenue Cycle Management
137,Athletics,Counseling Psychology
138,Humanities,IOS-XR
139,STEM,Satellite TV
140,Humanities,Import
141,Athletics,Brand Architecture
142,STEM,PMO Services
143,Humanities,Adult Education
144,STEM,TCO reduction
145,Humanities,GDP
146,STEM,NGOs
147,STEM,JIS
148,STEM,LDRPS
149,Athletics,Facilitation
150,Athletics,Black &amp; White
151,Humanities,Life Sciences
152,Humanities,HR Management
153,Humanities,Buyer Representation
154,Humanities,QMF for Windows
155,STEM,Executive Coaching
156,Athletics,DV
157,Athletics,Oracle E-Business Suite
158,Humanities,Occupational Therapy
159,Athletics,HP-UX
160,STEM,SFTP
161,Athletics,Web Typography
162,Humanities,UV
163,STEM,VMware Fusion
164,STEM,Health Education
165,Humanities,VCO
166,STEM,Qt
167,Humanities,Wholesale Banking
168,Humanities,Biostatistics
169,STEM,Gift Tax
170,Humanities,QHSE
171,Humanities,OCLC Connexion
172,Athletics,Ultipro
173,Humanities,Github
174,STEM,CFD
175,Humanities,User Scenarios
176,Humanities,SVT
177,STEM,Government Contracting
178,STEM,Urban Geography
179,STEM,Fine Art Photography
180,Athletics,Software Documentation
181,STEM,Wedding Photography
182,Humanities,Move Up Buyers
183,Athletics,Weapons of Mass Destruction
184,Athletics,XP Professional
185,Athletics,CQA
186,Humanities,XPages
187,Humanities,Integrated Circuit Design
188,STEM,Spot TV
189,STEM,Functional Training
190,STEM,Amadeus
191,Athletics,Kinematics
192,STEM,Store Management
193,STEM,SRTP
194,Athletics,Zen
195,Humanities,Phone Etiquette
196,STEM,Failure Analysis
197,STEM,Fluorescence Microscopy
198,STEM,Ulcerative Colitis
199,Humanities,Youth Development
200,STEM,IB
201,Humanities,Duty Drawback
202,STEM,ESB
203,STEM,Static Timing Analysis
204,STEM,ISO 27001
205,STEM,iVantage
206,Humanities,Bhangra
207,Humanities,Aquaponics
208,Athletics,PQQ
209,Athletics,Board Development
210,STEM,Athletics Marketing
211,Humanities,HDMI
212,Athletics,Laptops
213,Humanities,OLAP
214,Humanities,GSE
215,STEM,Patient Advocacy
216,STEM,Tax Research
217,Athletics,Situational Awareness
218,STEM,OSI Model
219,Humanities,eGate
220,Athletics,Dubbing
221,STEM,PTO
222,STEM,Long Distance Running
223,Humanities,LPI
224,STEM,MLA Style
225,Humanities,Volunteer Management
226,Athletics,Static Timing Analysis
227,Athletics,Character Animation
228,Humanities,Underground Mining
229,Humanities,Ducting
230,Humanities,Kinetic Typography
231,Athletics,OnQ
232,Humanities,HP Openview
233,Humanities,Analysis
234,Humanities,DNA replication
235,Athletics,Pyxis
236,Athletics,Beauty Industry
237,Athletics,Zombies
238,STEM,Rigging
239,Athletics,TPR
240,Athletics,Avionics
241,STEM,Egyptian Arabic
242,Humanities,HPLC
243,Humanities,Pivot Tables
244,STEM,European Studies
245,STEM,Vectorworks
246,STEM,Engineering Management
247,Athletics,EBPP
248,Athletics,Pyrometallurgy
249,Humanities,SWOT analysis
250,Humanities,Windows XP
251,STEM,InfoComm CTS
252,Humanities,HCCP
253,Athletics,Editorial Illustrations
254,Athletics,Zachman
255,Humanities,Lawson HRIS
256,STEM,QAS
257,STEM,DB2
258,Athletics,Overseeing Projects
259,STEM,TyMetrix
260,Humanities,UDF
261,Humanities,SQL Azure
262,Athletics,Change Control
263,STEM,Benefits Administration
264,STEM,Xing
265,Athletics,Quantity Surveying
266,Athletics,Ejabberd
267,Athletics,Jewelry Design
268,Athletics,Unit Testing
269,STEM,Navisworks
270,Humanities,SharePoint Server
271,STEM,DPF
272,Humanities,Help Desk Support
273,STEM,IEC 62304
274,STEM,NDIS
275,STEM,Electricity
276,Athletics,Tennis
277,Athletics,XPDL
278,Humanities,MLRO
279,Athletics,Organizational Leadership
280,STEM,Data Modeling
281,Humanities,Jimmy Jib
282,STEM,TF-CBT
283,Athletics,GSM-R
284,Humanities,SPC
285,Humanities,CDL Class B
286,Humanities,Portuguese
287,Humanities,Microsoft Word
288,Athletics,Medical Billing
289,Humanities,JCE
290,STEM,First Time Home Sellers
291,STEM,ETFs
292,Humanities,DTD
293,Humanities,Order Fulfillment
294,Athletics,QAC
295,Athletics,HTML5
296,Athletics,GTK
297,Athletics,PTP
298,Athletics,PQQs
299,STEM,Amazon RDS
300,Humanities,PVR
301,Humanities,Ideas NX
302,Athletics,Music Production
303,Athletics,Ministry Of Defence
304,Humanities,Maritime
305,Athletics,Data Center
306,Athletics,SBIR
307,STEM,Carriage of Goods by Sea
308,Athletics,Chemistry
309,Humanities,FMVSS
310,Humanities,Key Performance Indicators
311,Humanities,Annual Giving
312,Athletics,PTFE
313,STEM,Electrical Troubleshooting
314,STEM,DDR3
315,Humanities,FpML
316,Humanities,QSAR
317,Humanities,NWDS
318,Athletics,IRIS
319,Humanities,High Yield
320,Humanities,CTR
321,Athletics,TFS
322,Humanities,IEC
323,Athletics,Short Stories
324,Humanities,Jidoka
325,Humanities,ICH-GCP
326,STEM,KCS
327,Humanities,Kitchen Cabinets
328,Athletics,TJC
329,Athletics,QI
330,Athletics,LynxOS
331,Humanities,Higher Education
332,Athletics,Commercial Lending
333,Humanities,MWS
334,STEM,Forklift Operation
335,Humanities,Utilization
336,Humanities,ICT
337,STEM,Process Engineering
338,Humanities,PDE
339,Athletics,Performance Improvement
340,Athletics,Internet Banking
341,Humanities,Political Risk Analysis
342,Athletics,Ghost Imaging
343,STEM,Upholstery
344,Athletics,Fashion Jewelry
345,STEM,Zumba
346,Humanities,SDL Tridion
347,STEM,VCO
348,Athletics,Educational Outreach
349,STEM,Knowledge Transfer
350,Athletics,Enterprise Risk Management
351,Humanities,Business Alliances
